id,name,abbreviation,prefix,iso_code
01,Tarapacá,TPCA,I,CL-TA
02,Antofagasta,ANTOF,II,CL-AN
03,Atacama,ATCMA,III,CL-AT
04,Coquimbo,COQ,IV,CL-CO
05,Valparaíso,VALPO,V,CL-VS
06,Libertador General Bernardo O'Higgins,LGBO,VI,CL-LI
07,Maule,MAULE,VII,CL-ML
08,Biobío,BBIO,VIII,CL-BI
09,La Araucanía,ARAUC,IX,CL-AR
10,Los Lagos,LAGOS,X,CL-LL
11,Aysén del General Carlos Ibáñez del Campo,AYSEN,XI,CL-AI
12,Magallanes y de la Antártica Chilena,MAG,XII,CL-MA
13,Metropolitana de Santiago,RM,XIII,CL-RM
14,Los Ríos,RIOS,XIV,CL-LR
15,Arica y Parinacota,AyP,XV,CL-AP
16,Ñuble,NUBLE,XVI,CL-NB
